type,year,period,service,incidents
A,60,60,127,0
C,65,75,676,1
B,70,75,13099,44
D,65,60,288,0
E,70,60,1157,5
A,60,75,63,0
B,75,60,0,0
B,60,75,17176,29
D,60,60,251,0
B,60,60,44882,39
D,60,75,105,0
D,65,75,192,0
A,60,60,127,0
B,75,60,0,0
D,70,75,1208,11
C,60,75,552,1
B,65,75,20370,53
E,60,60,45,0
A,70,75,3353,18
D,70,75,1208,11
E,65,60,789,7
C,60,75,552,1
E,60,75,0,0
E,75,60,0,0
A,65,75,1095,4
B,70,75,13099,44
B,70,75,13099,44
D,70,60,349,2
D,65,75,192,0
A,65,75,1095,4
A,65,60,1095,3
B,70,60,7064,12
B,70,60,7064,12
C,60,60,1179,1
E,75,75,542,1
C,65,60,781,0
A,60,60,127,0
A,75,60,0,0
A,65,60,1095,3
C,65,75,676,1
